"name","value","total"
"1937","Not Forest",71327.339083444
"1937","Old Growth Forest",5204.73795849771
"1955","Early Successional Forest",534.60009681129
"1955","Not Forest",70792.7389866327
"1955","Old Growth Forest",4887.4041715279
"1955","Old Growth Forest Lost",317.333786969807
"1968","Early Successional Forest",1113.38050535682
"1968","Early Successional Forest Lost",16.450031516
"1968","Not Forest",70201.2005317278
"1968","Old Growth Forest",4386.4945433108
"1968","Old Growth Forest Lost",814.551430030227
"1976","Early Successional Forest",1198.52739312503
"1976","Early Successional Forest Lost",32.24906862
"1976","Not Forest",70100.2655052219
"1976","Old Growth Forest",4295.478873506
"1976","Old Growth Forest Lost",905.556201468766
"1987","Early Successional Forest",1738.30377219726
"1987","Early Successional Forest Lost",54.99686469037
"1987","Not Forest",69557.6407866073
"1987","Old Growth Forest",4183.847248823
"1987","Old Growth Forest Lost",997.2883696238
"2000","Early Successional Forest",1892.28927934021
"2000","Early Successional Forest Lost",66.8311369470442
"2000","Not Forest",69391.8210072076
"2000","Old Growth Forest",4067.649732133
"2000","Old Growth Forest Lost",1113.4858863138
"2010","Early Successional Forest",1839.06796400447
"2010","Early Successional Forest Lost",147.458252590424
"2010","Not Forest",69364.4152069
"2010","Old Growth Forest",4001.104941156
"2010","Old Growth Forest Lost",1180.0306772908
"2022","Early Successional Forest",1730.06279214041
"2022","Early Successional Forest Lost",256.463424454484
"2022","Not Forest",69364.4152069
"2022","Old Growth Forest",3919.95484524
"2022","Old Growth Forest Lost",1261.1807732068
